code,name,zone,division_name,lat,long,station_km,elevation_m,is_junction,has_crew_lobby,is_banking_station
PKEO,PANSKURA EAST OUTER,SER,KGP,22.39759021,87.76451806,68.425,5,TRUE,FALSE,FALSE
PKU,PANSKURA JN,SER,KGP,22.39335167,87.74249685,70.676,5,TRUE,FALSE,FALSE
KHAI,KHIRAI,SER,KGP,22.37506689,87.69709314,75.907,10,FALSE,FALSE,FALSE
HAUR,HAUR,SER,KGP,22.36570188,87.65495368,80.265,13,FALSE,FALSE,FALSE
RDU,RADHAMOHANPUR,SER,KGP,22.35708912,87.61342736,84.722,15,FALSE,FALSE,FALSE
DUAN,DUAN,SER,KGP,22.35484035,87.58357498,87.75,17,FALSE,FALSE,FALSE
BCK,BALICHAK,SER,KGP,22.35796742,87.55298616,91.016,20,FALSE,FALSE,FALSE
SMCK,SHYAMCHAK,SER,KGP,22.36353695,87.5009094,96.426,25,FALSE,FALSE,FALSE
MPD,MADPUR,SER,KGP,22.36936854,87.44310302,102.45,27,FALSE,FALSE,FALSE
JPR,JAKPUR,SER,KGP,22.36261992,87.38954919,108.225,27,FALSE,FALSE,FALSE
KGP,KHARAGPUR JN,SER,KGP,22.34075357,87.32621011,115.365,39,TRUE,TRUE,FALSE
GMDN,GIRIMAIDAN,SER,KGP,22.34199696,87.30612827,117.41,47,FALSE,FALSE,FALSE
GKL,GOKULPUR,SER,KGP,22.37533572,87.29406906,121.441,,FALSE,FALSE,FALSE
MDN,MEDINIPUR,SER,KGP,22.42498685,87.30782403,128.172,47,FALSE,FALSE,FALSE
NPTY,NIMPURA THROUGH YARD,SER,KGP,22.33241939,87.26473821,121.73,56,FALSE,FALSE,TRUE
W/O,WEST OUTER,SER,KGP,22.33884206,87.2487202,,,FALSE,FALSE,FALSE
WOSC,W/O SDG. CABIN,SER,KGP,22.357795,87.2837973,,,FALSE,FALSE,FALSE
RGX,RAGHUNATHBARI,SER,KGP,22.35386664,87.79748414,78.327,6,FALSE,FALSE,FALSE
RGA,RAJGODA,SER,KGP,22.32426201,87.86649383,86.31,6,FALSE,FALSE,FALSE
SMTG,SAHID MATANGINI,SER,KGP,22.30038208,87.90843297,91.536,6,FALSE,FALSE,FALSE
TMZ,TAMLUK,SER,KGP,22.27472356,87.91999329,94.6,6,FALSE,FALSE,FALSE
TMZJ,TAMLUK JUNCTION CABIN,SER,KGP,22.23427963,87.93789328,99.476,,TRUE,FALSE,FALSE
KSBP,KESHABPUR,SER,KGP,22.22078503,87.95014721,101.511,5,FALSE,FALSE,FALSE
SSPH,SATISH SAMANTA PH,SER,KGP,22.19243218,87.99065096,106.841,8,FALSE,FALSE,FALSE
MSDL,MAHISADAL,SER,KGP,22.19243218,87.99065096,109.5,6,FALSE,FALSE,FALSE
BRDB,BARDA,SER,KGP,22.15248205,88.08743388,118.067,7,FALSE,FALSE,FALSE
BYSA,BASULIA SUTAHATA,SER,KGP,22.12043439,88.13102606,123.96,,FALSE,FALSE,FALSE
BSCB,BASULIA JN. CABIN,SER,KGP,22.10597351,88.14421849,126.96,,TRUE,FALSE,FALSE
DZK,DURGACHAK,SER,KGP,22.0817138,88.15518315,129.208,,FALSE,FALSE,FALSE
DZKT,DURGACHAK TOWN,SER,KGP,22.06644972,88.13539821,132.168,4,FALSE,FALSE,FALSE
